"speaker","negative_form","count","total","rel_freq","lower","upper","ppt","ppt_upper","ppt_lower"
"child","de",2,4688048,4.26616792319533e-07,8.49805208691419e-09,1.66414958191494e-06,0.000426616792319533,0.00166414958191494,8.49805208691419e-06
"child","dis",121,4688048,2.58103159353317e-05,2.15848653620425e-05,3.08551389584288e-05,0.0258103159353317,0.0308551389584288,0.0215848653620425
"child","in",70,4688048,1.49315877311836e-05,1.17957673094997e-05,1.88867984310561e-05,0.0149315877311836,0.0188867984310561,0.0117957673094997
"child","less",20,4688048,4.26616792319533e-06,2.71846014315652e-06,6.63328346022726e-06,0.00426616792319533,0.00663328346022726,0.00271846014315652
"child","no",103977,4688048,0.022179167107504,0.0220462501248719,0.0223128671570114,22.179167107504,22.3128671570114,22.0462501248719
"child","non",16,4688048,3.41293433855626e-06,2.05280425374874e-06,5.59247357866128e-06,0.00341293433855626,0.00559247357866128,0.00205280425374874
"child","not",25307,4688048,0.00539819558161521,0.0053322697913354,0.00546493193992137,5.39819558161521,5.46493193992137,5.3322697913354
"child","nt",59422,4688048,0.0126752115166056,0.0125743442282742,0.0127768774471751,12.6752115166056,12.7768774471751,12.5743442282742
"child","pos",4495342,4688048,0.958894192209636,0.95871409853659,0.959073533833344,958.894192209636,959.073533833344,958.71409853659
"child","quantifier",3490,4688048,0.000744446302597584,0.000720159431037508,0.000769551368885616,0.744446302597584,0.769551368885616,0.720159431037508
"child","un",281,4688048,5.99396593208943e-05,5.33173806810869e-05,6.7381254478335e-05,0.0599396593208943,0.067381254478335,0.0533173806810869
"parent","de",38,9621284,3.94957679245307e-06,2.86210576796351e-06,5.43631125648634e-06,0.00394957679245306,0.00543631125648633,0.00286210576796351
"parent","dis",354,9621284,3.67934259086417e-05,3.31499285301208e-05,4.08361604998029e-05,0.0367934259086417,0.0408361604998029,0.0331499285301208
"parent","in",143,9621284,1.48628810873892e-05,1.26101899852598e-05,1.75148269144265e-05,0.0148628810873892,0.0175148269144265,0.0126101899852598
"parent","less",195,9621284,2.0267565119167e-05,1.76085721081854e-05,2.33258085392372e-05,0.020267565119167,0.0233258085392372,0.0176085721081854
"parent","no",80529,9621284,0.00836988077682771,0.00831251040901251,0.00842764372760875,8.36988077682771,8.42764372760875,8.31251040901251
"parent","non",80,9621284,8.31489851042751e-06,6.67074492136404e-06,1.03583120531804e-05,0.00831489851042751,0.0103583120531804,0.00667074492136404
"parent","not",49045,9621284,0.00509755246804896,0.00505275022673326,0.00514274990539326,5.09755246804896,5.14274990539326,5.05275022673326
"parent","nt",178745,9621284,0.0185780816780796,0.0184929517022732,0.0186635960852646,18.5780816780796,18.6635960852646,18.4929517022732
"parent","pos",9304609,9621284,0.96708599392763,0.966973073259776,0.967198541611816,967.08599392763,967.198541611816,966.973073259776
"parent","quantifier",6275,9621284,0.000652199851911658,0.000636265059867414,0.000668533389746087,0.652199851911658,0.668533389746087,0.636265059867414
"parent","un",1271,9621284,0.000132102950084417,0.000125035000660226,0.00013957006061343,0.132102950084417,0.13957006061343,0.125035000660226
