Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Role	Utterance	Age
perception	possession	do	not	_	_	_	_	Mother	you do n't haf ta stretch them very far	49
perception	possession	do	not	_	_	_	_	Mother	a design does n't haf ta be something	49
perception	existence	that	no	_	_	_	_	Target_Child	no that	49
perception	existence	lobster	no	_	_	_	_	Mother	no not lobster	49
perception	existence	lobster	not	_	_	_	_	Mother	no not lobster	49
perception	existence	baby	no	_	_	_	_	Target_Child	I no little baby	49
perception	existence	that	no	_	_	_	_	Target_Child	no that 's the pile of it	49
perception	existence	bottom	no	_	_	_	_	Mother	top and no bottom	49
perception	existence	those	no	_	_	_	_	Mother	no no those are Daddy's things	49
perception	existence	those	no	_	_	_	_	Mother	no no those are Daddy's things	49
perception	possession	do	not	_	_	_	_	Target_Child	see I do n't have	49
perception	possession	do	not	_	_	_	_	Mother	we do n't have any different colors	49
perception	existence	why	no	_	_	_	_	Mother	no why	49
perception	existence	color	no	_	_	_	_	Target_Child	does n't make no color	49
perception	existence	that	no	_	_	_	_	Target_Child	no that 's the stove	49
perception	existence	I	no	_	_	_	_	Target_Child	no I goin wash it off	49
perception	existence	Adam	no	_	_	_	_	Mother	no no no Adam	49
perception	existence	Adam	no	_	_	_	_	Mother	no no no Adam	49
perception	existence	Adam	no	_	_	_	_	Mother	no no no Adam	49
perception	existence	fish	no	_	_	_	_	Target_Child	you ca n't catch no fish with it	49
perception	existence	this	no	_	_	_	_	Target_Child	no this could be their car	49
perception	existence	mother	no	_	_	_	_	Target_Child	no for the boys and the mother	49
perception	existence	yours	no	_	_	_	_	Target_Child	no this yours	49
perception	existence	Peter	no	_	_	_	_	Target_Child	no you Peter	49
perception	existence	Peter	no	_	_	_	_	Target_Child	no you Peter	49
perception	existence	I	not	_	_	_	_	Target_Child	I not a train man	49
perception	existence	Peter	no	_	_	_	_	Target_Child	no you Peter and I Joe	49
perception	possession	do	not	_	_	_	_	Target_Child	cause we do n't have no barn	49
perception	possession	do	not	_	_	_	_	Mother	did n't have a name	49
perception	possession	do	not	_	_	_	_	Target_Child	and that doll did n't have no name	49
perception	possession	do	not	_	_	_	_	Target_Child	well I do n't have anyone and you have all the furry people and I do n't have any	65
perception	possession	do	not	_	_	_	_	Target_Child	well I do n't have anyone and you have all the furry people and I do n't have any	65
perception	possession	do	not	_	_	_	_	Target_Child	dad on days when I do n't do anything then I do n't haf ta wear them with socks because then we wo n't be going to the track and I do n't haf ta have anything inside them	65
perception	possession	do	not	_	_	_	_	Target_Child	dad on days when I do n't do anything then I do n't haf ta wear them with socks because then we wo n't be going to the track and I do n't haf ta have anything inside them	65
perception	possession	do	not	_	_	_	_	Father	yeah sure because I do n't haf ta water anything	65
perception	possession	do	not	_	_	_	_	Father	you can eat your m_and_ms and he does n't have anymore	65
perception	possession	do	not	_	_	_	_	Father	now you 've got some and he does n't have any	65
perception	possession	do	not	_	_	_	_	Father	now you 've got some and he does n't have any	65
perception	existence	Russell	no	_	_	_	_	Target_Child	no Russell you 're Russell	65
perception	possession	do	not	_	_	_	_	Target_Child	and it does n't have legs	65
perception	possession	do	not	_	_	_	_	Target_Child	because they do n't have lights	65
perception	possession	do	not	_	_	_	_	Target_Child	because they do n't have lightbulbs in their mouths	65
perception	possession	do	not	_	_	_	_	Target_Child	because they do n't have mustache	65
perception	possession	do	not	_	_	_	_	Father	you do n't have a mustache and you 're still a person	65
perception	existence	person	not	_	_	_	_	Father	not all people haf ta have mustaches on their mouths	65
perception	possession	do	not	_	_	_	_	Father	cause Ross does n't have one	65
perception	possession	do	not	_	_	_	_	Mother	we do n't have we to not have a_lot of mess this is like a_lot of pieces for us	24
perception	possession	to	not	_	_	_	_	Mother	we do n't have we to not have a_lot of mess this is like a_lot of pieces for us	24
perception	possession	do	not	_	_	_	_	Mother	we do n't have a_lot of animals	24
perception	possession	do	not	_	_	_	_	Mother	we do n't have any sushi toy at home	24
perception	existence	me	no	_	_	_	_	Target_Child	no me	24
perception	possession	can	not	_	_	_	_	Mother	but you ca n't have it right now	30
perception	existence	more	no	_	_	_	_	Mother	no more	30
perception	possession	do	not	_	_	_	_	Target_Child	he does n't have a penis	39
perception	existence	brush	no	_	_	_	_	Target_Child	no brush a trees	26
perception	existence	brush	no	_	_	_	_	Mother	no brush a trees	26
