Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Role	Utterance	Age
perception	existence	I	no	_	_	_	_	Target_Child	no I	25
perception	existence	more	no	_	_	_	_	Mother	no more	25
perception	possession	mine	no	_	_	_	_	Target_Child	no mine	25
perception	existence	Po	not	_	_	_	_	Target_Child	not Po	25
perception	existence	mess	no	_	_	_	_	Target_Child	oh no mess	25
perception	existence	Steve	not	_	_	_	_	Mother	Steve is n't it	25
perception	existence	it	not	_	_	_	_	Mother	it 's raining is n't it	25
perception	existence	day	not	_	_	_	_	Mother	not a very nice day today is it	25
perception	existence	lot	not	_	_	_	_	Mother	not a lot	25
perception	existence	you	not	_	_	_	_	Mother	you not looking	25
perception	existence	mine	no	_	_	_	_	Target_Child	no that mine	25
perception	existence	mine	no	_	_	_	_	Target_Child	no that mine	25
perception	possession	do	not	_	_	_	_	Father	but you do n't have a Star Wars tape right	40
perception	existence	tape	no	_	_	_	_	Father	no your tape is for Empire Strikes Back	40
perception	possession	do	not	_	_	_	_	Father	cause in Hungary they do n't have it yet	40
perception	possession	do	not	_	_	_	_	Mother	they do n't have it yet because things come first	40
perception	possession	do	not	_	_	_	_	Father	yeah they just do n't have it Ross	40
perception	existence	these	no	_	_	_	_	Father	no these are Star Wars	40
perception	existence	Solo	no	_	_	_	_	Father	no Han Solo shot the monster	40
perception	existence	milk	no	_	_	_	_	Target_Child	no milk did n't come out_of that because they take care of that	40
perception	existence	bath	no	_	_	_	_	Target_Child	there is no bath	40
perception	existence	house	not	_	_	_	_	Mother	not in a house not in a box not with a mouse not with a fox	48
perception	existence	mouse	not	_	_	_	_	Mother	not in a house not in a box not with a mouse not with a fox	48
perception	existence	one	no	_	_	_	_	Target_Child	no one	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	match	no	_	_	_	_	Target_Child	they no match	36
perception	existence	one	no	_	_	_	_	Target_Child	no this one this	36
perception	existence	this	no	_	_	_	_	Target_Child	no this is Mommy	36
perception	existence	tongue	not	_	_	_	_	Target_Child	not a black tongue	36
perception	possession	do	not	_	_	_	_	Mother	no that 's okay you do n't haf ta be sorry	36
perception	existence	yellow	no	_	_	_	_	Mother	red nose red nose no I like the yellow	36
perception	existence	this	no	_	_	_	_	Target_Child	no this goes in here this in the	36
perception	existence	one	no	_	_	_	_	Target_Child	no how bout just a little big one	36
perception	existence	piece	no	_	_	_	_	Target_Child	no pieces	36
perception	existence	lightbulb	no	_	_	_	_	Mother	hm oh no but we need a lightbulb	36
perception	existence	ocean	no	_	_	_	_	Mother	no in the ocean	36
perception	existence	more	no	_	_	_	_	Mother	no more no more you 're gon na hurt me go get your grasshopper	36
perception	existence	you	no	_	_	_	_	Mother	no more no more you 're gon na hurt me go get your grasshopper	36
perception	existence	talk	no	_	_	_	_	Target_Child	no I talk a pig	36
perception	existence	that	no	_	_	_	_	Mother	no that 's a shark	36
perception	possession	do	not	_	_	_	_	Mother	backpack backpack here let me take some more of your cord out so we do n't haf ta hold it so close haf ta	31
perception	possession	do	not	_	_	_	_	Mother	and it 's about all these people in the village and they do n't have anything to eat and one person comes into the village with a stone	31
perception	existence	face	no	_	_	_	_	Target_Child	no the face	31
perception	possession	do	not	_	_	_	_	Mother	I do n't have any cookie dough I did n't make any cookies	31
perception	possession	do	not	_	_	_	_	Mother	oh thanks we do n't have any tissues left	31
perception	possession	do	not	_	_	_	_	Target_Child	how can they how can they see if mike does n't have	31
perception	possession	do	not	_	_	_	_	Mother	normally we do n't play with jellyfish cause they could sting us but that kind did n't have any tentacles and could n't sting you so it was great	31
perception	existence	we	no	_	_	_	_	Mother	no we	31
perception	existence	kite	not	_	_	_	_	Mother	a kite on your vest is n't there	25
perception	existence	Fraser	no	_	_	_	_	Target_Child	no my Fraser	25
perception	existence	cow	no	_	_	_	_	Target_Child	no a cow	25
perception	existence	clown	no	_	_	_	_	Target_Child	no clowns	25
perception	existence	one	no	_	_	_	_	Target_Child	no that one	25
perception	existence	monkey	no	_	_	_	_	Target_Child	no more monkeys jump the bed	25
perception	existence	monkey	no	_	_	_	_	Target_Child	no more monkeys jump the bed	25
perception	existence	monkey	no	_	_	_	_	Mother	no more monkeys jumping on the bed	25
perception	existence	monkey	no	_	_	_	_	Mother	no more monkeys jumping on the bed	25
perception	existence	jump	no	_	_	_	_	Target_Child	no more monkeys jump on the bed	25
perception	existence	monkey	no	_	_	_	_	Target_Child	no more monkeys jump on the bed	25
perception	existence	hippo	no	_	_	_	_	Mother	there 's no hippo coming	25
perception	existence	box	no	_	_	_	_	Target_Child	no my box	25
perception	existence	box	no	_	_	_	_	Target_Child	no my box	25
perception	existence	star	no	_	_	_	_	Target_Child	no tar	25
perception	existence	Lwww	no	_	_	_	_	Target_Child	no Lwww	25
perception	existence	box	no	_	_	_	_	Target_Child	no Awww's box	25
perception	existence	box	no	_	_	_	_	Target_Child	no Awww's box	25
perception	existence	box	no	_	_	_	_	Target_Child	no Awww's box	25
perception	existence	box	no	_	_	_	_	Target_Child	no Awww's box	25
perception	existence	arm	no	_	_	_	_	Target_Child	no that one arm	25
perception	existence	crayon	no	_	_	_	_	Mother	no crayons	25
perception	existence	Diesel	no	_	_	_	_	Target_Child	no Diesel eating carrots	25
perception	possession	do	not	_	_	_	_	Mother	you do n't have gravy on your cakes	25
perception	existence	alligator	no	_	_	_	_	Father	no there 's no alligators	23
perception	existence	kid	not	_	_	_	_	Father	the babies cry huh but not the big kids	23
perception	existence	how	not	_	_	_	_	Target_Child	how not going out for mm	23
perception	possession	do	not	_	_	_	_	Father	you do n't haf ta	23
perception	existence	book	not	_	_	_	_	Target_Child	not my book	23
perception	existence	book	not	_	_	_	_	Father	not the book but the blankets you want out	23
perception	existence	hers	not	_	_	_	_	Target_Child	hers not a tall	36
perception	possession	be	not	_	_	_	_	Mother	we 're not having dodies	35
perception	possession	do	not	_	_	_	_	Mother	you do n't have a dodie	35
perception	possession	can	not	_	_	_	_	Mother	you ca n't have a dodie while you 're having your tea	35
perception	possession	can	not	_	_	_	_	Mother	you ca n't have cheese on its own for tea	35
perception	existence	friend	no	_	_	_	_	Target_Child	no my friends	35
perception	possession	be	not	_	_	_	_	Mother	say we 're not having a birthday party	35
perception	existence	point	no	_	_	_	_	Mother	well there 's no point in testing it when you 're in it	35
perception	existence	hairwash	not	_	_	_	_	Target_Child	not hairwash today	35
perception	existence	it	not	_	_	_	_	Mother	is it not hair	35
perception	existence	it	not	_	_	_	_	Target_Child	it not meant to be in here	35
perception	existence	you	not	_	_	_	_	Target_Child	you not doing it anymore	35
perception	existence	you	not	_	_	_	_	Target_Child	you not old woman	35
perception	existence	woman	not	_	_	_	_	Mother	am I not an old woman	35
perception	existence	this	not	_	_	_	_	Target_Child	this not meant to be in here	35
perception	possession	you	not	_	_	_	_	Target_Child	you not have any tea	35
perception	possession	be	not	_	_	_	_	Mother	I 'm not having any tea	35
perception	possession	do	not	_	_	_	_	Mother	well I do n't have a till	35
perception	existence	I	not	_	_	_	_	Target_Child	I not got any food here	35
perception	possession	have	not	_	_	_	_	Target_Child	put all in bowl and not have any more	35
perception	possession	you	not	_	_	_	_	Target_Child	you not having any more	35
perception	possession	do	not	_	_	_	_	Mother	I do n't have any pepper darling	35
perception	existence	it	not	_	_	_	_	Target_Child	it not broken	35
perception	existence	it	not	_	_	_	_	Target_Child	it not melting	35
perception	existence	it	not	_	_	_	_	Target_Child	it not melting	35
perception	existence	lot	not	_	_	_	_	Target_Child	not lot of change	35
perception	existence	you	not	_	_	_	_	Target_Child	you not a sink	35
perception	possession	do	not	_	_	_	_	Mother	we do n't have baked beans cold	35
perception	existence	point	no	_	_	_	_	Mother	there 's no point eating that and then spitting it all out	18
perception	existence	Tahoe	no	_	_	_	_	Father	no well who 's Tahoe	18
perception	possession	do	not	_	_	_	_	Mother	I do n't have egg	18
perception	existence	egg	no	_	_	_	_	Mother	there 's no egg here	18
perception	existence	egg	not	_	_	_	_	Target_Child	egg not egg	18
perception	existence	tree	no	_	_	_	_	Mother	there are no trees said the owl	68
perception	possession	do	not	_	_	_	_	Mother	see this one does n't have any	68
perception	existence	word	no	_	_	_	_	Mother	there 's no words honey	68
perception	possession	do	not	_	_	_	_	Target_Child	they do n't haf ta walk through water	68
perception	existence	those	no	_	_	_	_	Mother	no those are teeth	68
perception	existence	fireman	not	_	_	_	_	Target_Child	not fireman	33
perception	existence	it	not	_	_	_	_	Mother	is it not too small	33
perception	existence	nursery	not	_	_	_	_	Mother	we went to nursery not nursery playgroup did n't we	33
perception	existence	Sonia	no	_	_	_	_	Target_Child	no Sonia	33
perception	existence	number	not	_	_	_	_	Mother	not numbers	33
perception	existence	more	no	_	_	_	_	Mother	there are no more	33
perception	existence	more	no	_	_	_	_	Mother	they 're no more	33
perception	existence	reach	no	_	_	_	_	Target_Child	no reach	33
perception	existence	reach	no	_	_	_	_	Target_Child	no reach them	33
perception	existence	strap	no	_	_	_	_	Target_Child	no straps on them	33
perception	existence	wind	no	_	_	_	_	Mother	there 's no wind is there	33
perception	existence	what	not	_	_	_	_	Mother	not what 's that smell	33
perception	existence	mouth	not	_	_	_	_	Mother	not in your mouth	33
perception	existence	mouth	not	_	_	_	_	Mother	not in your mouth	33
perception	existence	here	not	_	_	_	_	Target_Child	not in here	33
perception	possession	will	not	_	_	_	_	Mother	because we need ta get the washing machine turned on otherwise we wo n't have any clean clothes will we	33
perception	existence	Reverend_Timms	no	_	_	_	_	Target_Child	no Reverend_Timms	33
perception	existence	Reverend_Timms	no	_	_	_	_	Mother	no Reverend_Timms on the Postman_Pat jigsaw is there	33
perception	existence	it	not	_	_	_	_	Mother	and it 's coming away from the soft part of the slipper is n't it	33
perception	existence	Thomas	not	_	_	_	_	Target_Child	Thomas not seen curtains like that before	33
perception	existence	it	not	_	_	_	_	Mother	I 'm surprised it 's a bumpy ride in the kitchen floor because the floor is very smooth is n't it	33
perception	existence	water	no	_	_	_	_	Target_Child	no water	33
perception	existence	play	no	_	_	_	_	Target_Child	no play	20
perception	existence	honey	no	_	_	_	_	Mother	no honey	20
perception	existence	bead	no	_	_	_	_	Mother	oh no the beads are no-nos	20
perception	existence	more	no	_	_	_	_	Mother	no more	20
perception	existence	it	no	_	_	_	_	Target_Child	no like it	25
perception	existence	zoo	not	_	_	_	_	Mother	not a very good zoo is it	25
perception	existence	it	no	_	_	_	_	Target_Child	no like it	25
perception	existence	lettuce	no	_	_	_	_	Target_Child	no lettuce	25
perception	existence	lettuce	not	_	_	_	_	Target_Child	not lettuce	25
perception	existence	lettuce	not	_	_	_	_	Target_Child	not lettuce	25
perception	existence	clothes	no	_	_	_	_	Target_Child	not got no clothes on	25
perception	existence	clothes	no	_	_	_	_	Mother	got no clothes on	25
perception	existence	what	no	_	_	_	_	Mother	no what	25
perception	existence	lettuce	no	_	_	_	_	Target_Child	no like lettuce	25
perception	existence	lettuce	no	_	_	_	_	Target_Child	no lettuce	25
perception	existence	banana	not	_	_	_	_	Mother	not even bananas and I thought all people like bananas	25
perception	existence	that	not	_	_	_	_	Mother	not that you really know I do n't suppose	25
perception	existence	soup	no	_	_	_	_	Mother	no soup here	12
perception	existence	you	not	_	_	_	_	Mother	you not to have any milk	12
perception	existence	nose	no	_	_	_	_	Mother	no nose drops in Mommy's bathroom	12
perception	existence	here	not	_	_	_	_	Mother	not in here	12
perception	possession	have	not	_	_	_	_	Mother	you have n't had those in a while	12
perception	existence	bread	no	_	_	_	_	Mother	no bread	12
perception	existence	poop	no	_	_	_	_	Mother	no poopie	12
perception	existence	clothes	no	_	_	_	_	Mother	now you got no clothes on	12
perception	existence	diarrhea	no	_	_	_	_	Mother	good no diarrhea	12
perception	existence	Cos	no	_	_	_	_	Target_Child	no Cos	65
perception	existence	sir	no	_	_	_	_	Mother	no sir	65
perception	existence	it	not	_	_	_	_	Mother	it 's a good job we brought that is n't it	30
perception	possession	do	not	_	_	_	_	Mother	and these are coins that we do n't have	30
perception	existence	Thomas	no	_	_	_	_	Mother	no Thomas	30
perception	possession	should	not	_	_	_	_	Mother	well you should n't have your finger	30
perception	possession	should	not	_	_	_	_	Mother	you should n't have your fingers in the door should you	30
perception	existence	rein	no	_	_	_	_	Target_Child	no reins	30
perception	existence	rein	no	_	_	_	_	Target_Child	no reins	30
perception	existence	rein	no	_	_	_	_	Mother	no reins	30
perception	existence	rein	no	_	_	_	_	Mother	what do you mean no reins	30
perception	existence	drink	no	_	_	_	_	Target_Child	no drink	30
perception	existence	it	not	_	_	_	_	Mother	the main swimmingpool is floodlit is n't it	30
perception	existence	Sunday	not	_	_	_	_	Target_Child	Sunday not Saturday	30
perception	existence	Thomas	no	_	_	_	_	Mother	no Thomas	30
perception	possession	can	not	_	_	_	_	Mother	you ca n't have	28
perception	existence	storytime	no	_	_	_	_	Mother	no storytime	28
perception	existence	circle	no	_	_	_	_	Target_Child	no circle time	28
perception	existence	circle	no	_	_	_	_	Mother	no circle time	28
perception	existence	milk	no	_	_	_	_	Target_Child	no milk	28
perception	existence	poop	no	_	_	_	_	Mother	no poopies	13
perception	possession	do	not	_	_	_	_	Mother	we do n't have a diaper on	13
perception	existence	touch	no	_	_	_	_	Mother	no touch	13
perception	existence	touch	no	_	_	_	_	Mother	no touch	13
perception	possession	do	not	_	_	_	_	Mother	you see we do n't have your feet in	13
perception	existence	bell	no	_	_	_	_	Mother	no the bell	24
perception	existence	soup	not	_	_	_	_	Mother	you know soups not very good on the burner	24
perception	existence	spoon	no	_	_	_	_	Mother	no with the spoon	24
perception	existence	snack	no	_	_	_	_	Mother	there 's no snack	24
perception	existence	candy	no	_	_	_	_	Mother	no candy	24
perception	possession	have	not	_	_	_	_	Mother	you have n't had candy in a	24
perception	existence	more	no	_	_	_	_	Mother	no more	24
perception	existence	bug	no	_	_	_	_	Mother	no more bugs on my hands	24
perception	existence	bug	no	_	_	_	_	Mother	no more bugs on my hands	24
perception	existence	doll	no	_	_	_	_	Mother	alright no dolls then	24
perception	existence	I	not	_	_	_	_	Target_Child	I not falling off	24
perception	existence	Mommy	no	_	_	_	_	Target_Child	no uhhuh Mommy	31
perception	existence	Abe	no	_	_	_	_	Mother	no I did n't Abe	31
perception	possession	can	not	_	_	_	_	Mother	oops we ca n't have it yet	30
perception	possession	can	not	_	_	_	_	Mother	you ca n't have it right now	30
perception	possession	can	not	_	_	_	_	Mother	you just ca n't have it right now	30
perception	existence	Andrea	no	_	_	_	_	Mother	no not for Andrea	30
perception	existence	candle	no	_	_	_	_	Target_Child	there 's no candle in here	30
perception	existence	candle	no	_	_	_	_	Mother	no candle	30
perception	existence	candle	no	_	_	_	_	Target_Child	cause we do n't got no candle on the table	30
perception	possession	do	not	_	_	_	_	Mother	the lady does n't have a candle	30
perception	existence	Wheelock	no	_	_	_	_	Father	no Roman who goes to Wheelock	46
perception	existence	nobody	no	_	_	_	_	Target_Child	no nobody	46
perception	possession	do	not	_	_	_	_	Father	you did n't have any nice dinners	46
perception	existence	swim	no	_	_	_	_	Father	no you could n't swim but you could stand up in that pool could n't you	46
perception	existence	money	no	_	_	_	_	Target_Child	no money money	46
perception	possession	do	not	_	_	_	_	Father	why do n't you ask Karen how come she does n't have her glasses	46
perception	possession	do	not	_	_	_	_	Target_Child	why you do n't have your glasses on	46
perception	existence	you	not	_	_	_	_	Father	I do n't want you to climb up there again I told you not to do that	46
perception	existence	car	no	_	_	_	_	Mother	no car	50
perception	possession	mine	no	_	_	_	_	Mother	oh no mine fell	50
perception	existence	rug	not	_	_	_	_	Mother	not the rug is too soft	50
perception	possession	do	not	_	_	_	_	Mother	I do n't have a phone	50
perception	existence	work	not	_	_	_	_	Target_Child	not works	31
perception	existence	rush	no	_	_	_	_	Target_Child	no rush	31
perception	existence	rush	no	_	_	_	_	Target_Child	no rush	31
perception	existence	post	not	_	_	_	_	Mother	these letters as well through the post were n't they	31
perception	existence	juice	no	_	_	_	_	Target_Child	blackcurrant juice no thanks	31
perception	existence	you	not	_	_	_	_	Mother	you not feeling very well	31
perception	existence	bib	no	_	_	_	_	Target_Child	no bib on	31
perception	existence	bib	no	_	_	_	_	Target_Child	oh no bib	31
perception	existence	bib	no	_	_	_	_	Mother	no bib	31
perception	possession	yours	not	_	_	_	_	Target_Child	not yours	31
perception	possession	yours	not	_	_	_	_	Mother	not yours	31
perception	possession	yours	not	_	_	_	_	Target_Child	not yours	31
perception	possession	yours	not	_	_	_	_	Mother	not yours	31
perception	possession	have	not	_	_	_	_	Mother	I 've been on the telephone and I have n't had chance to eat any	31
perception	existence	toast	no	_	_	_	_	Target_Child	no toast	31
perception	existence	red	no	_	_	_	_	Target_Child	no red one on	31
perception	existence	blue	no	_	_	_	_	Target_Child	no blue one	31
perception	existence	firework	no	_	_	_	_	Target_Child	no fireworks	31
perception	existence	firework	no	_	_	_	_	Mother	no fireworks	31
perception	existence	man	no	_	_	_	_	Target_Child	no a man	31
perception	existence	what	no	_	_	_	_	Mother	no what	31
perception	existence	Jess	not	_	_	_	_	Target_Child	a Jess not through	31
perception	existence	Jess	not	_	_	_	_	Target_Child	Jess not through	31
perception	existence	Jess	not	_	_	_	_	Mother	Jess not through	31
perception	existence	way	no	_	_	_	_	Target_Child	no that way	31
perception	existence	wash	no	_	_	_	_	Mother	no wash	31
perception	existence	girl	no	_	_	_	_	Mother	there 's no wonder poor little girl was screaming was there	31
perception	existence	what	not	_	_	_	_	Mother	not what love	31
perception	possession	have	not	_	_	_	_	Mother	you 've not have you	31
perception	existence	Becky	not	_	_	_	_	Target_Child	a Becky not pooed no	31
perception	existence	change	no	_	_	_	_	Target_Child	no change	31
perception	existence	change	no	_	_	_	_	Target_Child	no change	31
perception	existence	sleep	not	_	_	_	_	Target_Child	not the floor sleep	31
perception	existence	sleep	not	_	_	_	_	Target_Child	not the floor sleep	31
perception	existence	what	not	_	_	_	_	Mother	not what	31
perception	existence	sleep	no	_	_	_	_	Target_Child	not no sleep	31
perception	existence	sleep	no	_	_	_	_	Mother	no sleep	31
perception	existence	way	no	_	_	_	_	Mother	no way	31
perception	existence	way	no	_	_	_	_	Mother	I thought you said no way	31
perception	existence	sleep	no	_	_	_	_	Target_Child	no sleep there	31
perception	possession	do	not	_	_	_	_	Mother	you do n't haf ta put your shoes on	31
perception	existence	breakfast	no	_	_	_	_	Target_Child	no breakfast	31
perception	existence	breakfast	no	_	_	_	_	Mother	no breakfast	31
perception	existence	food	no	_	_	_	_	Target_Child	no food	31
perception	existence	food	no	_	_	_	_	Mother	no food	31
perception	existence	Bob_The_Builder	no	_	_	_	_	Target_Child	no Bob_The_Builder	31
perception	existence	lawn	no	_	_	_	_	Target_Child	no lawn mower	31
perception	existence	lawn	no	_	_	_	_	Mother	no lawn mower	31
perception	existence	workman	not	_	_	_	_	Mother	not the workmen the bin men	31
perception	existence	lorry	no	_	_	_	_	Target_Child	no there the bin bin lorry	31
perception	existence	lorry	no	_	_	_	_	Target_Child	no bin bag lorry	31
perception	possession	do	not	_	_	_	_	Child	Mummy babies do n't have socks on do they	18
perception	existence	more	no	_	_	_	_	Child	I do n't want no more	18
perception	existence	trick	no	_	_	_	_	Target_Child	no tricks	27
perception	existence	trick	no	_	_	_	_	Mother	no tricks	27
perception	existence	car	not	_	_	_	_	Mother	not a very good car really is it	27
perception	existence	room	no	_	_	_	_	Mother	there 's no room for a train on here is there	27
perception	existence	crown	no	_	_	_	_	Mother	there 's no crown so it ca n't be a king can it	27
perception	existence	dinosaur	not	_	_	_	_	Mother	a dinosaur is n't it	27
perception	possession	will	not	_	_	_	_	Mother	and then people would n't haf ta just write letters	27
perception	existence	sandwich	no	_	_	_	_	Target_Child	no sandwich for tea now	27
perception	existence	lady	not	_	_	_	_	Target_Child	the lady not there	27
perception	existence	she	not	_	_	_	_	Mother	she 's climbing in through the window of the three bear's house there is n't she	27
perception	existence	use	no	_	_	_	_	Mother	oh that 's no use	27
perception	existence	it	not	_	_	_	_	Mother	it 's going down that balloon is n't it	27
perception	existence	it	not	_	_	_	_	Target_Child	it not got a knot in	27
perception	existence	it	not	_	_	_	_	Target_Child	it not got a knot in	27
perception	possession	be	not	_	_	_	_	Mother	I 'm not having a fight with you Aran	27
perception	existence	it	not	_	_	_	_	Target_Child	it not burst no	27
perception	existence	toy	no	_	_	_	_	Target_Child	no toys for me	27
perception	existence	toy	no	_	_	_	_	Target_Child	no toys for me	27
perception	existence	toy	no	_	_	_	_	Target_Child	no toys	27
perception	existence	toy	no	_	_	_	_	Target_Child	no toys for me	27
perception	existence	toy	no	_	_	_	_	Mother	no toys for you	27
perception	existence	it	not	_	_	_	_	Mother	I think that red one's a bit smaller is n't it	27
perception	existence	one	not	_	_	_	_	Target_Child	that one not fit on	27
perception	existence	toy	no	_	_	_	_	Target_Child	no toys for me	27
perception	existence	toy	no	_	_	_	_	Mother	no toys for you	27
perception	existence	toy	no	_	_	_	_	Target_Child	no toys for me	27
perception	possession	can	not	_	_	_	_	Target_Child	I ca n't have the toy	27
perception	possession	can	not	_	_	_	_	Target_Child	I ca n't have the toy now	27
perception	existence	toy	no	_	_	_	_	Target_Child	no toys	27
perception	existence	toy	no	_	_	_	_	Target_Child	no toys	27
perception	existence	toy	no	_	_	_	_	Target_Child	no toys for me	27
perception	existence	toy	no	_	_	_	_	Mother	why are there no toys for you	27
perception	possession	be	not	_	_	_	_	Mother	we 're not having the christmas tree rearranged yet again	27
perception	possession	be	not	_	_	_	_	Mother	I 'm not having it down my sweater	27
perception	existence	Ee	no	_	_	_	_	Child	no Ee	26
perception	existence	Ee	no	_	_	_	_	Child	no Ee	26
perception	existence	brother	no	_	_	_	_	Target_Child	no brother no brother 's gon na do something this one	50
perception	existence	Mary	no	_	_	_	_	Target_Child	Mom no Mary	50
perception	existence	dessert	no	_	_	_	_	Mother	well I did n't make it though did I so there obviously is no dessert then if I did not make it	50
perception	possession	do	not	_	_	_	_	Mother	honey I do n't know I do n't have the time you know	50
perception	possession	can	not	_	_	_	_	Target_Child	you ca n't have the little one	36
perception	existence	you	not	_	_	_	_	Target_Child	are you not playing with me	36
perception	existence	light	not	_	_	_	_	Mother	just not as light as the dining room	36
perception	existence	one	not	_	_	_	_	Mother	not one of these bits in my	36
perception	existence	way	no	_	_	_	_	Mother	no way	36
perception	existence	fear	no	_	_	_	_	Mother	no fear	36
perception	existence	here	not	_	_	_	_	Mother	not in here	36
perception	existence	you	not	_	_	_	_	Target_Child	why re you not driving Daddy	37
perception	existence	that	not	_	_	_	_	Mother	not that	24
perception	existence	anybody	not	_	_	_	_	Target_Child	not anybody you know	33
perception	possession	have	not	_	_	_	_	Mother	because I have n't had any lunch yet	33
perception	possession	have	not	_	_	_	_	Target_Child	not having a night_night	33
perception	possession	can	not	_	_	_	_	Mother	you ca n't have it can you	33
perception	existence	where	not	_	_	_	_	Mother	when not where	33
perception	existence	ma	no	_	_	_	_	Target_Child	no ma	21
perception	existence	baby	no	_	_	_	_	Target_Child	and no baby food	35
perception	existence	devil	no	_	_	_	_	Father	no devil	35
perception	existence	record	no	_	_	_	_	Target_Child	no your tape recorder is right here	35
perception	existence	word	not	_	_	_	_	Father	not a hard word	35
perception	existence	spaghetti	no	_	_	_	_	Father	no spaghetti	35
perception	existence	throat	no	_	_	_	_	Father	no my throat is n't too good right now	35
perception	existence	one	not	_	_	_	_	Mother	not one	37
perception	existence	way	no	_	_	_	_	Mother	there is no way at all	37
perception	existence	luxury	not	_	_	_	_	Mother	not a superduper luxury one is it	30
perception	existence	Coco	not	_	_	_	_	Mother	not Coco	30
perception	possession	be	not	_	_	_	_	Target_Child	it 's not have it	30
perception	possession	have	not	_	_	_	_	Mother	not have what	30
perception	existence	face	not	_	_	_	_	Mother	not in Mummy's face	30
perception	existence	Nicole	no	_	_	_	_	Mother	no Nicole	30
perception	existence	pizza	no	_	_	_	_	Target_Child	no no pizza cooked yet	30
perception	existence	pizza	no	_	_	_	_	Target_Child	no no pizza cooked yet	30
perception	existence	sausage	not	_	_	_	_	Mother	not sausage	30
perception	possession	can	not	_	_	_	_	Mother	you ca n't have your tape on until Caroline's gone	30
perception	possession	do	not	_	_	_	_	Mother	do n't have the television on when people come to see you	30
perception	possession	do	not	_	_	_	_	Mother	we do n't have them	30
perception	existence	foal	no	_	_	_	_	Mother	no not a a foal	35
perception	existence	McDonalds	not	_	_	_	_	Mother	not McDonalds	35
perception	existence	Firstname	no	_	_	_	_	Mother	no Firstname these are fire engines	35
perception	possession	do	not	_	_	_	_	Mother	are there big tall people who did n't have babies	40
perception	possession	have	not	_	_	_	_	Mother	oh look at this puzzle you have n't had this one before	23
perception	existence	one	not	_	_	_	_	Target_Child	this ai n't the same one as this one	23
perception	existence	Kalie	no	_	_	_	_	Mother	no Kalie that does n't go in there	23
perception	possession	can	not	_	_	_	_	Mother	do you want me you ca n't have anything if you 're going to throw it	23
perception	possession	can	not	_	_	_	_	Mother	you ca n't have anything if you 're gon na throw it do you hear me	23
perception	existence	sister	no	_	_	_	_	Mother	Travis no sister was doin it first	23
perception	existence	blue	no	_	_	_	_	Mother	no the blue goes with the blue	23
perception	possession	do	not	_	_	_	_	Mother	Travis do n't have anymore	23
perception	possession	do	not	_	_	_	_	Mother	we ca n't look at a picture of Floppy if we do n't have Floppy with us	15
perception	existence	loop	no	_	_	_	_	Mother	no loop	15
perception	existence	hippo	no	_	_	_	_	Mother	yeah no no hippos today	15
perception	existence	chicken	no	_	_	_	_	Mother	no the chickens live there	15
perception	existence	pig	no	_	_	_	_	Mother	no the pigs live there	15
perception	existence	life	no	_	_	_	_	Mother	no who lives there	15
perception	existence	horse	no	_	_	_	_	Mother	huh no the horses live there	15
perception	existence	pen	no	_	_	_	_	Mother	there 's a pen cap but there 's no pen	15
perception	existence	pen	no	_	_	_	_	Mother	and what good is a pen cap with no pen	15
perception	existence	horse	no	_	_	_	_	Mother	no the horses live there neigh	15
perception	possession	do	not	_	_	_	_	Father	they do n't haf ta sit on the potty do they	27
perception	existence	daddy	no	_	_	_	_	Target_Child	no being with the daddy	27
perception	existence	radio	no	_	_	_	_	Target_Child	no on the radio	27
perception	existence	radio	no	_	_	_	_	Father	no not on the radio	27
perception	existence	thing	no	_	_	_	_	Father	there 's no such thing as a radido	27
perception	existence	thing	no	_	_	_	_	Father	they 're gon na say there 's no such thing as a radido I 've never heard of a radido	27
perception	existence	egg	not	_	_	_	_	Father	not egg salad	27
perception	existence	Chi	no	_	_	_	_	Mother	no Chi	57
perception	existence	room	no	_	_	_	_	Mother	no room for him	57
perception	possession	will	not	_	_	_	_	Mother	he will n't have a seatbelt	57
perception	existence	bridge	no	_	_	_	_	Target_Child	no this a bridge	57
perception	existence	it	no	_	_	_	_	Target_Child	no up it	57
perception	existence	we	not	_	_	_	_	Target_Child	we not walking there today	34
